Ülke,R2 Skoru
Spain,0.9642747549481219
Lithuania,0.963280705532815
Hungary,0.9607375551261863
Estonia,0.9486902536474778
Latvia,0.8961169936231766
Czechia,0.8864488487958726
Luxembourg,0.880325145035405
Poland,0.8779539988997737
Italy,0.871399673772015
Portugal,0.8668391040789624
Greece,0.8604716017900151
France,0.8580293645992634
Denmark,0.8498041739780043
Norway,0.8471265703088701
Netherlands,0.8345400955254554
Finland,0.830466647825396
Ireland,0.8163148628497423
Switzerland,0.8131186196468071
Iceland,0.7992994989370443
Sweden,0.7749264401473568
Slovenia,0.7552539402269174
Belgium,0.7453055527213989
Germany,0.719629716003096
Austria,0.6902616907285377
